ts,elapsed_s,sql_state,bc_state,sql_query_ms,bc_api_ms,bc_http,web_http,restarts,note
2026-08-13T02:02:12+02:00,4113,running,running,314,53,200,200,1,
2026-08-13T02:02:58+02:00,4159,running,running,323,37,200,200,1,
2026-08-13T02:03:43+02:00,4205,running,running,318,41,200,200,1,
2026-08-13T02:04:29+02:00,4250,running,running,322,53,200,200,1,
2026-08-13T02:05:15+02:00,4296,running,running,310,43,200,200,1,
2026-08-13T02:06:00+02:00,4342,running,running,318,45,200,200,1,
2026-08-13T02:06:46+02:00,4387,running,running,318,65,200,200,1,
2026-08-13T02:07:32+02:00,4433,running,running,312,45,200,200,1,
2026-08-13T02:08:17+02:00,4479,running,running,322,36,200,200,1,
2026-08-13T02:09:03+02:00,4524,running,running,320,40,200,200,1,
2026-08-13T02:09:49+02:00,4570,running,running,317,43,200,200,1,
2026-08-13T02:10:34+02:00,4616,running,running,326,43,200,200,1,
2026-08-13T02:11:20+02:00,4661,running,running,320,40,200,200,1,
2026-08-13T02:12:06+02:00,4707,running,running,322,41,200,200,1,
2026-08-13T02:12:52+02:00,4753,running,running,323,43,200,200,1,
2026-08-13T02:13:37+02:00,4799,running,running,324,47,200,200,1,
2026-08-13T02:14:23+02:00,4844,running,running,315,45,200,200,1,
2026-08-13T02:15:09+02:00,4890,running,running,323,58,200,200,1,
2026-08-13T02:15:54+02:00,4936,running,running,320,37,200,200,1,
2026-08-13T02:16:40+02:00,4981,running,running,317,40,200,200,1,
2026-08-13T02:17:26+02:00,5027,running,running,316,43,200,200,1,
2026-08-13T02:18:11+02:00,5073,running,running,326,46,200,200,1,
2026-08-13T02:18:57+02:00,5118,running,running,321,45,200,200,1,
2026-08-13T02:19:43+02:00,5164,running,running,316,48,200,200,1,
2026-08-13T02:20:28+02:00,5210,running,running,317,37,200,200,1,
2026-08-13T02:21:14+02:00,5256,running,running,319,52,200,200,1,
2026-08-13T02:22:00+02:00,5301,running,running,310,36,200,200,1,
2026-08-13T02:22:46+02:00,5347,running,running,324,47,200,200,1,
2026-08-13T02:23:31+02:00,5393,running,running,320,41,200,200,1,
2026-08-13T02:24:17+02:00,5438,running,running,315,39,200,200,1,
2026-08-13T02:25:03+02:00,5484,running,running,322,39,200,200,1,
2026-08-13T02:25:48+02:00,5530,running,running,325,42,200,200,1,
2026-08-13T02:26:34+02:00,5575,running,running,322,45,200,200,1,
2026-08-13T02:27:20+02:00,5621,running,running,319,49,200,200,1,
2026-08-13T02:28:05+02:00,5667,running,running,325,47,200,200,1,
2026-08-13T02:28:51+02:00,5712,running,running,311,41,200,200,1,
2026-08-13T02:29:37+02:00,5758,running,running,320,41,200,200,1,
2026-08-13T02:30:23+02:00,5804,running,running,330,46,200,200,1,
